x y
16460.26 24724.89
13422.47 19422.53
9086.73 13441.09
8806.55 13119.05
10828.62 14432.55
11231.48 14392.69
9729.05 12829.45
8622.97 11581.28
19397.89 26674.9
11977.55 18679.52
15158.3 22726.66
9524.04 12990.35
12501.12 17961.45
8717.37 12866.44
11006.61 16305.41
8837.46 13231.11
9477.51 13152.86
9945.52 13821.16
15527.97 19732.86
9627.4 14146.04
9408.48 12607.84
11146.8 14367.55
9679.14 12633.38
8349.21 11758.76
9076.61 13250.22
8323.54 12481.51
9772.07 12857.89
8308.62 10969.41
8192.56 11640.43
9558.29 12931.53
8669.36 11432.1
